Municipality,Township,Name,Sub_Location,Address,Latitude,Longitude,Address found
Latrobe City,Boolarra,Memorial Hall,,Cnr Tarwin Street and Christian Street,-38.3783,146.2744662,"Tarwin St & Christian St, Boolarra VIC 3870, Australia"
Loddon Shire,Boort,"Boort Football Club and Harness
Racing",Oval,Malone Street,-36.1096012,143.7293184,"Boort VIC 3537, Australia"
"Southern Grampians
Shire",Branxholme,Unused Bowling Green,Opposite Fire Station,Best Street  (between  Cox Street  and Brown Street),-37.8614896,141.8015613,"Branxholme VIC 3302, Australia"
Loddon Shire,"Bridgewater On
Loddon",Bridgewater Memorial Hall,Grounds,Corner Erskine Street and Eldon Street,-36.6029029,143.9464332,"Bridgewater, Bridgewater on Loddon VIC 3516, Australia"
Alpine Shire,Bright,Pioneer Park,Football Oval,55-71 Coronation Avenue,-36.7404836,146.972831,"55-71 Coronation Ave, Bright VIC 3741, Australia"
Mitchell Shire,Broadford,Harley Hammond Reserve,"Sports oval and car park
area","Bounded by Hamilton Street, Gavan Street and Powlett Street",-37.2029786,145.0448587,"Harley Hammond Reserve, Broadford VIC 3658, Australia"
East Gippsland Shire,Buchan,Buchan Oval,,Buchan-Orbost Road,-37.5147228,148.2268905,"Buchan-Orbost Rd, Buchan VIC 3885, Australia"
Ballarat City,Buninyong,Central Business District,,"Bounded by Learmonth St (Midland Hwy), Inglis, Forest, &
Warrenheip St",-37.6507186,143.8838144,"Midland Highway, Buninyong VIC 3357, Australia"
Mount Alexander Shire,Campbells Creek,Campbells Creek Community Centre,,Corner Elizabeth Street and Cemetery Road,-37.0925007,144.2012342,"60 Elizabeth St, Campbells Creek VIC 3451, Australia"
Corangamite Shire,Camperdown,"Service road on north side of
Manifold Street including centre
reserve",,"Manifold Street (Princes Hwy) between  Harrison Street &
Cressy Street",-38.1366928,144.3346276,"Manifold St, Manifold Heights VIC 3218, Australia"
Ballarat City,Canadian,Residential Parkland,,Provincial Way (between Broderick Court & Ryder Court),-37.589162,143.8716726,"Broderick Ct, Canadian VIC 3350, Australia"
East Gippsland Shire,Cann River,P-12 College,,Cnr Tamboon Road and Stephenson Street,-37.5698479,149.1534257,"20-24 Tamboon Rd, Cann River VIC 3890, Australia"
Golden Plains Shire,Cape Clear,Cape Clear Recreation Reserve,,"Cemetery  Road (near corner of Pitfield-Scarsdale Road). Enter
via access road (locally known as Recreation Rd) off Pitfield- Scarsdale Rd",-37.7806768,143.6174772,"Pitfield-Scarsdale Rd, Cape Clear VIC 3351, Australia"
Bass Coast Shire,Cape Paterson,Anchor Parade Reserve,,Corner Anchor Parade and Park Parade,-38.6691135,145.6132874,"Park Parade Reserve, Cape Paterson VIC 3995, Australia"
Bass Coast Shire,Cape Woolamai,Woolamai Park,,"11-19 Sunnyside Avenue (entry also available from Corona
Road)",-38.5235861,145.3373619,"11-19 Sunnyside Ave, Cape Woolamai VIC 3925, Australia"
"Mornington Peninsula
Shire",Capel Sound,Truemans Road Recreation Reserve,,113-119 Truemans Road (opposite John Street),-38.3778813,144.8586506,"113-119 Truemans Rd, Capel Sound VIC 3940, Australia"
Central Goldfields Shire,Carisbrook,Market Reserve,,"Bounded by Green Street, Urquhart Street,  Powlett Street  and
Birch Street",-37.050864,143.81245,"Carisbrook VIC 3464, Australia"
Glenelg Shire,Casterton,Casterton Central Business District,,"Henty Street (Glenelg Highway) between  Hutton Street  and
Clarke Street",-37.5842079,141.405898,"Clarke St, Casterton VIC 3311, Australia"
Mount Alexander Shire,Castlemaine,"Victory Park and Mostyn Street
(between  Barker Street  and Hargraves Street)",,"Park bounded by Barker Street,  Forest Street, Frederick Street
and Mostyn Street (between  Barker Street  and Hargraves Street)",-37.0657952,144.2178697,"Mostyn St & Frederick St, Castlemaine VIC 3450, Australia"
"Southern Grampians
Shire",Cavendish,"Cavendish Town Square Memorial
Park",,Corner Barker Street and Scott Street,-37.5276609,142.0402464,"Cavendish Town Square Memorial Park, Barker St, Cavendish VIC 3314, Australia"
Buloke Shire,Charlton,Charlton Shire Hall,,"9-11 Armstrong Street (Charlton-St Arnaud Road) opposite
Camp Street",-36.2701878,143.3493418,"11 Armstrong St, Charlton VIC 3525, Australia"
Indigo Shire,Chiltern,Memorial Hall,,Conness Street (between  Kilgour Street and Alliance Street),-36.1514948,146.6113585,"Kilgour St & Alliance St, Chiltern VIC 3683, Australia"
Hepburn Shire,Clunes,Central Business District,,Fraser Street (between  Templeton and Service Streets),-37.2997834,143.7830757,"Service St, Clunes VIC 3370, Australia"
Corangamite Shire,Cobden,Curdie Street Median Strip,,Curdie Street (between  Adams Street and Victoria Street),-38.3274182,143.077407,"Victoria St, Cobden VIC 3266, Australia"
Moira Shire,Cobram,Sports Complex,Netball Courts,Campbell Road (entry via Doug Robinson Drive),-35.9220317,145.6576863,"Doug Robinson Dr, Cobram VIC 3644, Australia"
Cardinia Shire,Cockatoo,Cockatoo Community Complex,Community Hall,Pakenham Road (between  McBride Street  and Alexander Road),-37.9437041,145.4909152,"Alexander Rd, Cockatoo VIC 3781, Australia"
Gannawarra Shire,Cohuna,Cohuna Secondary College,Oval,Murray Valley Highway,-35.813717,144.226085,"6415 Murray Valley Hwy, Cohuna VIC 3568, Australia"
Yarra Ranges Shire,Coldstream,Halley Supple Reserve,,Bounded by South Gateway and North Gateway,-37.7295591,145.3818944,"North Gateway & South Gateway, Coldstream VIC 3770, Australia"
"Southern Grampians
Shire",Coleraine,Coleraine Railway Reserve,,Pilleau Street (near corner of Read Street),-37.6017733,141.6975916,"Coleraine Railway Reserve, 27 Pilleau St, Coleraine VIC 3315, Australia"
Towong Shire,Corryong,Attree  Park (Town Centre Parkland),"Adjacent to the Tourist
Information Centre","Bounded by Hansen Street (Murray Valley Highway), Jardine
Street and Harris Street",-35.9254753,145.389967,"Murray Valley Hwy, Victoria, Australia"
Bass Coast Shire,Cowes,Cowes Recreation Reserve,,10-14 Church Street (between  Park Street & Dunsmore Road),-38.4514235,145.2469833,"Cowes Recreation Reserve, Cowes VIC 3922, Australia"
Colac-Otway Shire,Cressy,Cressy Public Hall,,41 Yarima Road,-38.0303786,143.6338133,"Community Hall, 41 Yarima Rd, Cressy VIC 3322, Australia"
Colac-Otway Shire,Cressy,Cressy Public Hall,Grassed area at front,41 Yarima Road,-38.0303786,143.6338133,"Community Hall, 41 Yarima Rd, Cressy VIC 3322, Australia"
Hepburn Shire,Creswick,Creswick Visitor Information Centre,"Car Park (behind the
building)",Cnr Victoria Street and Albert Street,-37.4223382,143.8944069,"41/43 Albert St, Creswick VIC 3363, Australia"
Towong Shire,Cudgewa,Cudgewa Recreation Reserve,"Community Building
(Football Netball Club)","Cudgewa Valley Road (between  Carkeeks Road and Germans
Road)",-36.169061,147.769349,"Germans Rd, Cudgewa VIC 3705, Australia"
Mildura Rural City,Cullulleraine,"Johanansen Memorial Recreation
Reserve",,Lake Park Road (near Sturt Highway),-34.2752447,141.6025947,"Lake Park Rd, Cullulleraine VIC 3496, Australia"
Moorabool Shire,Darley,"Darley Civic and Community Hub
(Former Secondary School Campus)",Oval,Wittick Street (opposite Lewis Street),-37.6531486,144.4226684,"3340/182 Halletts Way, Darley VIC 3340, Australia"
Glenelg Shire,Dartmoor,Dartmoor Recreation Reserve,,"Corner Ascot Street and Egan Street.  Entry from Ascot St
(opposite Wood St) or Egan St (opposite Glenelg Tce)",-37.9238697,141.2742737,"Egan St, Dartmoor VIC 3304, Australia"
Towong Shire,Dartmouth,Hotel,,Murtagh Place,-36.5336872,147.4963566,"Murtagh Pl, Dartmouth VIC 3701, Australia"
Hepburn Shire,Daylesford,Central Business District,Pavement Areas,"Bounded by Bridport, Albert & Camp Streets  & Central Springs
Road",-37.343929,144.145182,"Central Springs Rd & Camp St, Daylesford VIC 3460, Australia"
Surf Coast Shire,Deans Marsh,Martians Cafe site,Car Park,"Cnr Birregurra-Deans Marsh Road and Deans Marsh-Lorne
Road",-38.3975658,143.8856103,"12 Deans Marsh-Lorne Rd, Deans Marsh VIC 3235, Australia"
Alpine Shire,Dederang,Community Hall,,Kiewa Valley Highway (near Streets Lane),-36.4785739,147.0247733,"Kiewa Valley Highway, Dederang VIC 3691, Australia"
Golden Plains Shire,Dereel,Dereel Open Space,Parking Area,"Dereel-Rokewood Junction Road (between  Judge Road and
Tantaus Road)",-37.8050121,143.7361046,"Tantaus Rd, Dereel VIC 3352, Australia"
West Wimmera Shire,Dergholm,Dergholm Recreation Reserve,South West corner of Oval,"Casterton-Apsley Road (Casterton-Naracoorte Road) near
corner of Dergholm-Chetwynd Road",-37.3725191,141.2157447,"Dergholm Recreation Reserve, Dergholm VIC 3312, Australia"
Corangamite Shire,Derrinallum,Derrinallum Park Recreation Reserve,"Car Park and North West
area of Oval","Hamilton Highway (near corner Camperdown-Derrinallum
Road)",-37.9478527,143.2235719,"Hamilton Highway, Derrinallum VIC 3325, Australia"
Benalla Rural City,Devenish,Devenish Public Hall,,34 Main Street (between  McCallum Street and Devon Street),-36.3312129,145.895601,"Devon St, Devenish VIC 3726, Australia"
Nillumbik Shire,Diamond Creek,Community Centre,,Reserve Circuit (entry off Main Hurstbridge Road),-37.6709977,145.1689178,"Main Hurstbridge Rd, Diamond Creek VIC 3089, Australia"
Hindmarsh Shire,Dimboola,Bicentennial Community Park,"Between  Carpark and High
Street",Corner High Street (Dimboola -Rainbow Road) and Lloyd Street,-36.4555401,142.0275355,"Lloyd St, Dimboola VIC 3414, Australia"
Yarra Ranges Shire,Dixons Creek,Dixons Creek Recreation Reserve,Oval Area,Melba Highway (between  Pinnacle Lane and Lorimers Lane),-37.6039581,145.4163612,"Dixons Creek Recreation Reserve, Melba Hwy, Dixons Creek VIC 3775, Australia"
Buloke Shire,Donald,Donald Showgrounds,,Hammill Street (Borung Highway) opposite Mill Street,-36.3645302,142.9874759,"Borung Hwy & Hammill St, Donald VIC 3480, Australia"
"Mornington Peninsula
Shire",Dromana,Recreation Reserve,,Cnr Pier Street  and Charles Street (enter off Pier Street),-38.3348508,144.9672106,"Pier St, Dromana VIC 3936, Australia"
"Southern Grampians
Shire",Dunkeld,"Dunkeld Community Centre – Sterling
Place",,14 Sterling Street,-37.6514129,142.3421325,"14 Sterling St, Dunkeld VIC 3294, Australia"
Central Goldfields Shire,Dunolly,Gordon Gardens,,"Bounded by Barkly Street, Thompson Street and Market Street",-36.8604398,143.7324655,"Dunolly VIC 3472, Australia"
Greater Bendigo City,Eaglehawk,Canterbury Park Sports Precinct,Car parks and Event space,16 Simpsons Road (opposite Trumble Street),-36.7151133,144.2516065,"Canterbury Park, 2 Simpsons Rd, Eaglehawk VIC 3556, Australia"
Campaspe Shire,Echuca,Echuca South Recreation Reserve,Oval,High Street  (opposite Minor Street),-36.142109,144.7517522,"Echuca South Recreation Res/High St, Echuca VIC 3564, Australia"
West Wimmera Shire,Edenhope,Lake Wallace Reserve,,Corner Lake Street and Anzac Avenue,-37.0360691,141.2961965,"Anzac Ave, Edenhope VIC 3318, Australia"
Murrindindi Shire,Eildon,Eildon Basketball Courts Open space,,Corner Centre Avenue  and Main Street,-37.2345677,145.9089916,"Eildon VIC 3713, Australia"
Wangaratta Rural City,Eldorado,Eldorado Memorial Hall,,Main Street (opposite McCoy Street),-36.3073699,146.5236987,"McCoy St, Eldorado VIC 3746, Australia"
Ararat Rural City,Elmhurst,Elmhurst Mechanics Institute,"Footpath and forecourt in
front","34 High Street (Pyrenees Highway) between  Elmhurst-
Glenpatrick Road and Degraves Street",-37.1799406,143.2520587,"Degraves St, Elmhurst VIC 3469, Australia"
Nillumbik Shire,Eltham,"Car Park between  Dudley Street and
Arthur Street",,Between  Dudley Street and Arthur Street,-37.7152989,145.1560623,"Arthur St, Eltham VIC 3095, Australia"
Cardinia Shire,Emerald,Pepi's Land,Netball Courts & Car Park,16 Beaconsfield-Emerald Road,-37.9323713,145.4472153,"Pepi’s Land, 16 Beaconsfield-Emerald Rd, Emerald VIC 3782, Australia"
Casey City Council,Endeavour Hills,Barry Simon Reserve,(NE Corner),10 Gleneagles Drive,-37.967441,145.2649423,"Barry Simon Reserve, Gleneagles Dr, Endeavour Hills VIC 3802, Australia"
Towong Shire,Eskdale,Eskdale Recreation Reserve,"Mitta Valley Sports
Complex Building",3645 Omeo Highway (1.3km west of Little Snowy Creek Road),-36.4617662,147.2362964,"Eskdale Sport Facility, 3645 Omeo Hwy, Eskdale VIC 3701, Australia"
Strathbogie Shire,Euroa,Euroa Swimming Pool Car Park,,16a Bury Street,-36.7544898,145.5679473,"16A Bury St, Euroa VIC 3666, Australia"
"Mornington Peninsula
Shire",Flinders,Shopping Precinct,,Cook Street (between  Norman Street and Wood Street),-38.47184,145.0193621,"Wood St, Flinders VIC 3929, Australia"
Murrindindi Shire,Flowerdale,Flowerdale Hall,,Whittlesea-Yea Road opposite Broadford-Flowerdale Road,-37.3241081,145.3226204,"Whittlesea-Yea Rd, Flowerdale VIC 3717, Australia"
Cardinia Shire,Gembrook,Gembrook Community Centre,Carpark,"Cnr Beenak East Road and Gembrook Road (entry off
Gembrook Road)",-37.9537405,145.5545025,"4 Gembrook Rd, Gembrook VIC 3783, Australia"
Hepburn Shire,Glenlyon,Eldon Street,,"Eldon Street  (between  Molesworth Street and house number
19)",-37.2705172,144.2324222,"Glenlyon VIC 3461, Australia"
Wangaratta Rural City,Glenrowan,Glenrowan Recreation Reserve,Community Centre Hall,Daniel Lane,-36.4655666,146.2164544,"Glenrowan Recreation Reserve, 5 Daniel Ln, Glenrowan VIC 3675, Australia"
Southern Grampians Shire,Glenthompson,"Vacant land adjacent to
Glenthompson War Memorial Swimming Pool",,Corner Henry Street and Cameron Street (Maroona- Glenthompson Road),-37.5955458,142.5681703,"Maroona-Glenthompson Rd, Glenthompson VIC 3293, Australia"
Benalla Rural City,Goorambat,Goorambat Public Hall,,Halls Road near corner of Park Street,-36.411221,145.9226272,"53 Halls Rd, Goorambat VIC 3725, Australia"
Moorabool Shire,Gordon,Community Hall,,Main Street (opposite Russell Street),-37.5836386,144.1029021,"Russell St, Gordon VIC 3345, Australia"
Mansfield Shire,Goughs Bay,"Goughs Bay - Howes Creek Fire
Station",,Corner Walshs Road and Howes Creek-Goughs Bay Road,-37.17665,146.0629442,"6 Walshs Rd, Goughs Bay VIC 3723, Australia"
Bass Coast Shire,Grantville,Memorial Park,,Cnr Bass Highway and Pier Road,-38.407481,145.5301846,"Bass Hwy & Pier Rd, Grantville VIC 3984, Australia"
Moorabool Shire,Greendale,Egans Reserve,,Greendale-Ballan Road (entry via Bradys Lane),-37.5606734,144.2983094,"Egans Reserve, Bradys Ln, Greendale VIC 3341, Australia"
Nillumbik Shire,Greensborough,Diamond Hills Reserve,Oval,"244-246 Plenty River Drive (between  Brentwick Dve & Bayonne
Cl)",-37.6832875,145.1160717,"Diamond Hills Reserve, 244 Plenty River Dr, Greensborough VIC 3088, Australia"
Nillumbik Shire,Greensborough,Collendina Reserve,,"Bounded by Killarney Ridge, Eastgate Drive and Collendina
Crescent",-38.2676715,144.5484089,"Collendina Reserve, 20 Minerva Cl, Ocean Grove VIC 3226, Australia"
Nillumbik Shire,Greensborough,Outdoor Performance Area,,Civic Drive (opposite Brentwick Drive),-37.6882951,145.1092731,"Civic Dr, Greensborough VIC 3088, Australia"
Mount Alexander Shire,Guildford,John Powell Reserve,,"Bounded by Midland Highway (Parker Street and Templeton
Street) and Fryers Street",-37.1497792,144.1653577,"John Powell Reserve, Guildford VIC 3451, Australia"
Golden Plains Shire,Haddon,Haddon Primary School Oval,,Sago Hill Road,-37.5885468,143.7216273,"398 Sago Hill Rd, Haddon VIC 3351, Australia"
"Northern Grampians
Shire",Halls Gap,Visitor Information Centre,Surrounds,Corner Grampians Road & Heath Street,-37.1405858,142.5194116,"117-119 Grampians Rd, Halls Gap VIC 3381, Australia"
"Southern Grampians
Shire",Hamilton,Melville Oval,,Cnr Lonsdale Street and Brown Street,-37.740921,142.0218725,"Hamilton VIC 3300, Australia"
Mount Alexander Shire,Harcourt,"Harcourt Valley Primary School
Basketball Stadium",,Mills Road (between Binghams Road & Coolstore Road),-37.0028345,144.2570782,"3 Wilkinson St, Harcourt VIC 3453, Australia"
Alpine Shire,Harrietville,Community Hall,,Great Alpine Road (opposite Feathertop Lane),-36.9230314,147.0663305,"Great Alpine Rd, Harrietville VIC 3741, Australia"
Moyne Shire,Hawkesdale,"Hawkesdale Hall Grounds and Service
Road",,"Dawson St (Penshurst-Warrnambool Rd) btwn Austin & Spring
St",-38.1317309,142.3257549,"Penshurst-Warrnambool Rd, Hawkesdale VIC 3287, Australia"
Yarra Ranges Shire,Healesville,Queens Park,,"Bounded by Don Rd, Maroondah Hwy & Badger Creek Rd
(entry off Don Road",-37.6514684,145.5221688,"Don Rd/Maroondah Hwy, Healesville VIC 3777, Australia"
Yarra Ranges Shire,Healesville,RACV Healesville Country Club,Underground Car Park,Healesville-Kinglake Road (near corner Chum Creek Road),-37.645042,145.4978869,"Chum Creek Rd, Healesville VIC 3777, Australia"
Hepburn Shire,Hepburn,"Hepburn Recreation Reserve (Laurie
Sullivan Reserve)",Netball Pavilion,"Corner Hepburn-Newstead Road (Main Road) and Twentieth
Street",-37.3006616,144.124639,"Hepburn Recreation Reserve, Hepburn VIC 3461, Australia"
Glenelg Shire,Heywood,Heywood Central Business District,,"Edgar Street  (Princes Highway), including Service Roads,
between  Lindsay Street and Cameron Street",-38.1333964,141.6297919,"Heywood VIC 3304, Australia"
Horsham Rural city,Horsham,Sawyer Park,,Corner Hocking Street  and Firebrace Street,-36.7224655,142.2014313,"Sawyer Park, 1 Hocking St, Horsham VIC 3400, Australia"
Mansfield Shire,Howqua,Camp Howqua,Lodge Building,127 Howqua River Road,-37.221422,146.182149,"Camp Howqua, 127 Howqua River Rd, Howqua VIC 3723, Australia"
Nillumbik Shire,Hurstbridge,Hurstbridge Community Hub,"Hurstbridge Hurricanes
Basketball Stadium",Graysharps Road (at the roads end),-37.6410146,145.1898408,"50 Graysharps Rd, Hurstbridge VIC 3099, Australia"
Loddon Shire,Inglewood,J. Sloan Park,"Playground between
Swimming Pool and Tennis
Club",Corner Calder Highway (Heales Street) and Grant Street South,-36.577502,143.8700395,"Calder Hwy & Heales St, Inglewood VIC 3517, Australia"
Bass Coast Shire,Inverloch,Community Hub Grounds,,Cnr Reilly Street and A'Beckett Street,-38.6338742,145.7280955,"Reilly St & Abeckett St, Inverloch VIC 3996, Australia"
Ballarat City,Invermay,Invermay Recreation Reserve,"Grassed area between car
park and oval",Corner Muscatel Street and Swinglers Road,-37.5231159,143.8749964,"Invermay Recreation Reserve, Invermay VIC 3352, Australia"
Mildura Rural City,Irymple,Henshilwood Oval,,"Karadoc Avenue (between  Casuarina Crescent & Armagh
Crescent)",-34.2336368,142.1656843,"Henshilwood Reserve, 966-990 Karadoc Ave, Irymple VIC 3498, Australia"
Mansfield Shire,Jamieson,Jamieson Memorial Hall,,Corner Perkins Street and Grey Street,-37.3019641,146.1375424,"Perkins St & Grey St, Jamieson VIC 3723, Australia"
Surf Coast Shire,Jan Juc,Bob Pettit Reserve,"Oval and adjacent soccer
pitch and car park",Sunset Strip (between  Wattle Court and Domain Road),-38.3484984,144.2941251,"Bob Pettit Reserve, Sunset Strip, Jan Juc VIC 3228, Australia"
Hindmarsh Shire,Jeparit,Skate Park and Playground Area,,Corner of Broadway and Edith Street,-36.1397747,141.9856209,"Edith St, Jeparit VIC 3423, Australia"
Casey City Council,Junction Village,Recreation Reserve,,1-3 Sherwood Road,-38.136787,145.293962,"1-3 Sherwood Rd, Junction Village VIC 3977, Australia"
Greater Bendigo City,Junortoun,Lords Raceway,,McIvor Highway (entry opposite Atlas Road),-36.7690343,144.3351014,"Junortoun VIC 3551, Australia"
Greater Bendigo City,Kangaroo Flat,Centro Lansell (Lansell Plaza),Car Park,Calder Highway (High Street) opposite Symes Street,-36.8251862,144.2390981,"5692 Calder Hwy, Kangaroo Flat VIC 3555, Australia"
Greater Bendigo City,Kangaroo Flat,Dower Park,,Cnr Station Street  & Olympic Parade (entry off Station Street),-36.7942237,144.2382326,"Station St/Olympic Pde, Kangaroo Flat VIC 3555, Australia"
Gannawarra Shire,Kerang,Alexandra Park,Kerang Racecourse,Kerang-Koondrook Rd. Entry also off Park Rd (opp. Keats St),-35.7293855,143.9252179,"Keats St, Kerang VIC 3579, Australia"
Mitchell Shire,Kilmore,"Grassland Opposite Kilmore Racing
Club",,Corner East Street and Gipps Street,-37.2916817,144.959829,"East St, Kilmore VIC 3764, Australia"
Mitchell Shire,Kilmore,Bitumen car park,"Adjacent to Trackside
Function Centre, Kilmore
Racecourse",East Street  (opposite Gipps Street),-37.2918931,144.9561199,"Gipps St, Kilmore VIC 3764, Australia"
